q_type,question,answer
general_info,What is the role of T cells in autoimmune conditions like RA?,T cells are overactive in autoimmune conditions like RA and contribute to the immune system response by activating cytokine pathways and recruiting other cells like B cells.
prevention,What should you do if you experience adverse effects from menthol lotion?,"If you experience pain, swelling, or blistering of the skin where an over-the-counter menthol lotion was applied, stop using the product and seek medical attention immediately."
general_info,What is the function of menthol?,"Menthol creates a cooling sensation that can provide relief for minor pain and irritations, but it's not a treatment for pain or inflammation."
treatment,What should be done if an opioid overdose is suspected?,Naloxone hydrochloride should be administered as soon as possible to reverse the effects of an overdose.
treatment,What are some options for naloxone hydrochloride nasal spray?,"Prescription options include Kloxxado (8 mg/spray), Rextovy (4 mg/spray), and Rezenopy (10 mg/spray). Narcan (4 mg/spray) and ReVive (3 mg/spray) are brand names available OTC."
general_info,What can cause a swollen finger?,"A swollen finger can be caused by trauma, infection, or autoimmune disease."
general_info,Why is it important to see a healthcare provider for a swollen finger?,"Evaluation by your healthcare provider is crucial to determine the underlying cause, as treatment varies significantly based on the cause."
general_info,How does pregnancy affect Rheumatoid Arthritis (RA)?,"RA may be easier to manage during pregnancy. Disease activity improved in 60% of people with RA during pregnancy and flared in 46.7% postpartum, potentially due to hormonal and immune system changes."
treatment,What are some treatment options for managing arthritis symptoms?,"The document mentions that there are treatment options for managing arthritis symptoms, but does not specify what they are."
prevention,What should you do before taking prednisone to avoid complications?,Always inform your healthcare provider if you are due for a vaccination or are already taking other medications before taking prednisone.
general_info,What is prednisone?,Prednisone is a synthetic corticosteroid that lowers the activity of your immune system.
treatment,What conditions can prednisone treat?,"Prednisone is used in the treatment of different types of autoimmune diseases, such as rheumatoid arthritis, where the immune system attacks healthy joint tissues and causes inflammation."
general_info,What is early-onset arthritis?,"Early-onset arthritis can affect even very young children and is typically due to an autoimmune condition, rather than wear and tear of the joints."
general_info,Why is early diagnosis of osteoarthritis (OA) important?,Early diagnosis of OA is important because it can delay the progression of the disease and allow for more successful surgical treatments if needed.
symptoms,What are the symptoms of lupus?,"The signs of lupus include a butterfly-shaped skin rash, mouth sores, hair loss, and chest pain."
general_info,What is systemic lupus erythematosus (SLE)?,Systemic lupus erythematosus (SLE) is an autoimmune condition that can affect all systems of the body.
general_info,How does lupus arthritis present?,Lupus arthritis presents in a similar way to the early stages of rheumatoid arthritis.
treatment,What are some ways to manage arthritis pain?,"Managing pain can be achieved through activities that don't aggravate it, staying active to strengthen supporting muscles, and making healthy dietary choices."
treatment,How can acupuncture help with arthritis?,"Acupuncture may help manage pain and decrease associated symptoms of arthritis, potentially by suppressing inflammatory responses, improving blood flow, and relaxing muscles."
treatment,What should one expect during an acupuncture session?,"During an acupuncture session, you will discuss your medical history, undergo a brief physical exam, and then have needles inserted into specific points while lying down. Loose clothing is recommended."
prevention,How can one slow the progression of arthritis?,"Early recognition and intervention are key to slowing the progression of arthritis. Staying active, managing weight, quitting smoking, and reducing alcohol intake can also help."
general_info,What is the importance of early intervention in arthritis?,"Early recognition and intervention in arthritis are crucial to slow its progression, prevent it from worsening, and keep long-term complications at bay."
general_info,What are some lifestyle changes that can help manage arthritis?,"Losing weight if overweight, quitting smoking, and reducing alcohol intake can help manage arthritis pain."
symptoms,What are the symptoms of knee arthritis?,"Limping, poor balance due to weak leg muscles."
treatment,What is a treatment option for severe knee osteoarthritis?,Total knee arthroplasty (knee replacement surgery).
general_info,What is osteoarthritis?,"Osteoarthritis is a type of arthritis caused by wear and tear or overuse of joints, leading to bones rubbing against each other due to cartilage loss."
general_info,What are other forms of arthritis that can affect the knees?,Rheumatoid arthritis and psoriatic arthritis are other common forms of arthritis that affect the knees. These are autoimmune conditions.
general_info,What does it mean if bone spurs are developing due to osteoarthritis?,It indicates that treatment is needed to avoid disease progression.
general_info,What can happen if severe knee osteoarthritis is left untreated?,"It can lead to chronic pain, joint disfigurement, and the loss of mobility and quality of life."
general_info,What is Rheumatoid Arthritis?,"Rheumatoid arthritis is an inflammatory and autoimmune disease where the immune system attacks the lining of the joints (synovium), causing pain, swelling, and difficulty in movement."
general_info,How does arthritis impact lifespan?,"While arthritis is not directly fatal, complications from severe cases can shorten lifespan by six to seven years."
treatment,What is the importance of seeking treatment for arthritis?,Working with a healthcare professional ensures a tailored treatment plan for the best possible outcomes.
prevention,How can individuals with autoimmune diseases protect themselves from infections?,"Individuals with autoimmune diseases should get vaccinated against the flu and pneumonia, as recommended by their healthcare provider."
general_info,What are the symptoms of Rheumatoid Arthritis?,"Symptoms include pain, tenderness, redness, and swelling of the joints, particularly in the hands, knees, or ankles. Movement of the affected joints may also be difficult."
general_info,What are the risks associated with Rheumatoid Arthritis?,"Rheumatoid Arthritis can lead to problems in other parts of the body, including the eyes, heart and circulatory system, and lungs, increasing the risk of comorbidities."
general_info,What should I know about natural treatments and supplements?,Natural treatments and supplements can have side effects and drug interactions. It's important to consult with a healthcare provider before taking them. Pharmacists are also a good resource for checking possible interactions.
treatment,What is an effective treatment for rheumatoid arthritis regarding hand function?,"Daily hand exercises have been shown to significantly improve hand function, grip strength, and finger flexibility in people with rheumatoid arthritis."
treatment,What are some hand exercises that can be done?,Examples include making a thumbs-up sign and bending the wrist by pressing the back of the hand down.
general_info,What are common types of hand bone spurs?,"Common types of hand bone spurs include Bouchard's nodes, Heberden's nodes, and carpal boss."
general_info,Where do Bouchard's nodes occur?,Bouchard's nodes are bony enlargements that occur at the middle joints of the fingers (proximal interphalangeal or PIP joints).
general_info,What are some supplements or compounds that may be beneficial for arthritis?,"Chondroitin sulfate, Docosahexaenoic acid (DHA), Eicosapentaenoic acid (EPA), Fish oil, Ginger, Glucosamine, and S-adenosylmethionine (SAMe) are some supplements or compounds that are thought to have anti-inflammatory effects or support cartilage health."
general_info,What is carpal tunnel syndrome?,"Carpal tunnel syndrome often begins with pain in both hands, but may continue with pain in just one hand or wrist. The pain can fluctuate, getting better and then worse."
general_info,What is the prevalence of arthritis?,"Arthritis is a leading cause of disability in the United States, affecting about one in three adults between 18 and 64, with higher rates in those 65 and older. Many people may have arthritis but have not been diagnosed."
general_info,How is arthritis diagnosed?,"Arthritis is diagnosed through a physical examination, review of medical history, and X-ray imaging to identify affected joints."
general_info,What is rheumatoid arthritis?,"Rheumatoid arthritis (RA) is an autoimmune condition where the body attacks its own joints, causing pain, inflammation, and swelling. It can lead to cartilage breakdown and joint instability."
general_info,How does rheumatoid arthritis differ from osteoarthritis?,"Unlike osteoarthritis, which often affects one side of the body, rheumatoid arthritis is typically symmetrical, affecting both sides of the body, commonly in hands, feet, wrists, elbows, knees, and ankles."
treatment,What happens if rheumatoid arthritis is left untreated?,"If left untreated, rheumatoid arthritis can cause permanent and irreversible joint damage."
general_info,What are the benefits of Omega-3 fatty acids?,"Omega-3 fatty acids support cardiovascular health, brain health, and eye health. They may also help to reduce symptoms of psoriasis and lupus."
treatment,What can Omega-3 fatty acids be used for?,Omega-3 fatty acids may be beneficial for people with arthritis.
treatment,How can you get omega-3 fatty acids?,"You can get omega-3 fatty acids from food, soft gels, tablets, liquid, or capsules."
prevention,What foods should be minimized or avoided if you have arthritis?,"Foods to minimize or avoid include refined carbohydrates, alcohol, and sugar (particularly added sugars and table sugar) because they can cause inflammation."
symptoms,What are the warning signs of arthritis?,"Joint pain, stiffness, swelling, difficulty moving a joint through its normal range of motion, redness, and warmth."
general_info,When should you consult a healthcare provider for joint pain?,"You should see a healthcare provider if you have joint symptoms that last for three days or more, or several episodes of joint symptoms within a month."
general_info,When should you contact your healthcare provider after an arthritis diagnosis?,"Contact your healthcare provider if you have any symptoms that are not typical of your usual symptoms, such as increased joint redness or swelling, especially if you develop a fever at the same time."
treatment,When should you seek medical attention for an arthritis flare-up?,"If an arthritis flare-up doesn't clear up in a week with conservative therapy and rest, you should see your healthcare provider."
general_info,What is osteoarthritis?,"Osteoarthritis is a common form of arthritis in older adults, often called 'wear-and-tear' arthritis."
general_info,What can rheumatoid arthritis cause?,"Rheumatoid arthritis can destroy joints, leading to deformity in the fingers and wrist, and can cause complications in organ systems throughout the body."
symptoms,What are some concerning changes in joint symptoms that warrant medical attention?,Changes such as a stiff joint that normally improves with exercise becoming swollen and red-hot should be evaluated by a doctor.
general_info,What are some situations where you should seek medical attention for joint pain?,"If you experience symptoms for three days or more in a row, have several episodes of symptoms within a month, find yourself avoiding normal activities, do not get relief with rest and OTC pain medication, or notice unusual changes in your symptoms you should seek medical attention."
treatment,What are some recommended treatments for arthritis pain?,Healthcare providers often recommend starting with over-the-counter (OTC) pain relief options for arthritis pain.
treatment,Is yoga beneficial for people with arthritis?,"Yoga can be a beneficial form of exercise for people with arthritis, but modifications may be needed to minimize joint stress."
treatment,Are dietary supplements or herbal treatments recommended for arthritis?,"Be cautious with dietary supplements or herbal treatments for arthritis, as they could have dangerous side effects, drug interactions, or be tainted with prescription drugs."
treatment,Are glucosamine and chondroitin recommended for arthritis?,"Chondroitin is not recommended for osteoarthritis pain, and it's unclear whether glucosamine has any effect. Neither is recommended by the American College of Rheumatology."
treatment,Are omega-3 fatty acids beneficial for rheumatoid arthritis?,Omega-3 fatty acids (fish oil) may have some favorable effects on pain for patients with rheumatoid arthritis.
general_info,What are some major types of arthritis?,"Some major types of arthritis include osteoarthritis, rheumatoid arthritis, and gout."
general_info,What is a major risk factor for arthritis?,Older age is a major risk factor for arthritis as cartilage becomes increasingly brittle over time.
general_info,When does osteoarthritis typically develop?,"The development of osteoarthritis is typically seen to begin between the ages of 40 and 50, although it can start earlier in other forms of the disorder."
general_info,Why is it important to discuss treatment with a healthcare provider?,It is important to discuss treatment with a healthcare provider to ensure you are getting the care appropriate for your type of arthritis.
general_info,What is autoimmunity?,Autoimmunity occurs when your immune system mistakenly identifies a healthy part of your body as a threat and creates antibodies to attack it.
symptoms,What are the symptoms of morphea scleroderma?,"Patches of reddish skin that thicken into firm, oval-shaped areas on the abdomen, chest, or back; skin becomes waxy and shiny as it tightens; center of the patches can be ivory or yellow with violet borders; itchy skin (pruritis)."
general_info,What are potential triggers for scleroderma flare-ups?,"Exposure to silica, certain solvents, and drugs are potential triggers for scleroderma flare-ups."
general_info,How long does localized scleroderma typically last?,"Localized scleroderma typically goes away over time, but may leave skin discoloration. Linear scleroderma typically lasts two to five years, and morphea lesions last an average of three to five years."
general_info,What factors increase the likelihood of developing systemic symptoms in rheumatoid arthritis (RA)?,"Severe inflammation, long-standing disease, high levels of rheumatoid factor, high levels of anti-cyclic citrullinated peptide (anti-CCP) antibodies, smoking, being biologically male, and delayed (or lack of) treatment."
treatment,What are the treatments for Psoriatic Arthritis (PsA)?,Treatment options for PsA may include drug therapies such as NSAIDs and corticosteroids. NSAIDs are pain relievers that can decrease inflammation. Corticosteroids can reduce inflammation and are often injected into affected joints.
symptoms,What are the symptoms of Psoriatic Arthritis (PsA)?,"Symptoms of PsA include joint pain, stiffness, and swelling, along with skin lesions associated with psoriasis."
general_info,What is Psoriatic Arthritis (PsA)?,"Psoriatic arthritis is a type of inflammatory arthritis affecting people with psoriasis, an inflammatory skin condition. Psoriasis speeds up skin cell growth, causing them to build on the surface of the skin."
general_info,Is there a cure for Psoriatic Arthritis (PsA)?,There is currently no cure for psoriatic arthritis.
treatment,What are the risks associated with Xeljanz?,"There is an increased risk of serious adverse events with the use of Xeljanz, including heart-related events, cancer, blood clots, and death."
general_info,What is psoriatic arthritis?,Psoriatic arthritis is a type of arthritis that can affect people with psoriasis.
general_info,What is arthritis mutilans?,Arthritis mutilans is a rare condition affecting about 4% of people with psoriatic arthritis.
treatment,What are some treatments for psoriatic arthritis?,Injections and medications are used to treat psoriatic arthritis.
general_info,What is facet arthropathy?,Facet arthropathy is a condition that affects the facet joints in the spine.
general_info,What is juvenile psoriatic arthritis?,Juvenile psoriatic arthritis is a type of psoriatic arthritis that affects children.
general_info,What are rheumatoid nodules?,"Rheumatoid nodules are hard lumps of tissue that form under the skin, typically on bony areas like elbows, ankles, and fingers. They can also form on organs, especially the lungs, and range in size from a pea to a golf ball. They affect up to 30% of people with Rheumatoid Arthritis (RA)."
general_info,What is Livedo Reticularis?,"Livedo reticularis is a condition that causes spasms in blood vessels, resulting in a net-like purplish appearance on the skin. It may cause ulcers, nodules, and discoloration. While not generally associated with RA, it can be common in people with rheumatoid vasculitis. The rashes tend to be harmless and are more common in colder weather."
general_info,What is the life expectancy of people with Still's disease?,"Most people with Still's disease have a normal life expectancy. However, certain complications like macrophage activation syndrome can be life-threatening."
general_info,Why are skin issues important for people with rheumatoid arthritis?,"Skin issues can be signs that rheumatoid arthritis symptoms are not well-managed, and it's important to bring them to a healthcare provider's attention."
treatment,What are the goals of treatment for skin issues related to rheumatoid arthritis?,"The goals of treatment are to reduce pain and discomfort, reduce inflammation, and prevent infection."
treatment,What medications can help with skin issues related to rheumatoid arthritis?,"Over-the-counter medications like Tylenol (acetaminophen) can help with pain, and NSAIDs like Advil (ibuprofen) can help control and reduce inflammation. Severe pain may need prescription NSAIDs. Corticosteroids can also help reduce skin inflammation, but these medications cannot be used long-term."
prevention,How can one stay healthy during the winter?,"Exercising, eating well, getting plenty of rest, taking vitamins, and avoiding close contact with people who are ill can help."
general_info,What is Psoriatic Arthritis?,"Psoriatic arthritis (PsA) is an inflammatory condition that primarily affects people with psoriasis, where skin cells build up quickly and turn to scales. It can also cause joint symptoms."
general_info,What is psoriasis?,"Psoriasis is one of the most common immune-mediated diseases that affect adults, causing skin cells to build up quickly and turn into scales."
general_info,What is skin trauma?,"Skin trauma includes bruises, cuts, scrapes, infections, sunburns, and tattoos. Skin trauma may also trigger joint symptoms."
treatment,What exercises are good for people with PsA?,"Good exercises for people with PsA include bicycling, swimming, walking, and yoga."
general_info,What are the potential consequences of not managing PsA?,PsA can cause complications and even disability if it's not managed properly.
general_info,What is Humira?,Humira is a biologic anti-inflammatory medication that blocks the action of tumor necrosis factor-alpha (TNF-α). TNF-α is a protein in the immune system that can cause inflammation.
treatment,What is Humira used for?,"Humira is approved for the treatment of autoimmune disorders, which are disorders caused by the immune system mistakenly attacking healthy body cells."
general_info,What is the relationship between Humira and alcohol?,The consumption of alcohol while using Humira may increase the risk of liver injury.
general_info,What is psoriatic arthritis (PsA)?,Psoriatic arthritis (PsA) is a condition that can involve the spine in up to 40% of people with the condition.
general_info,What is the HLA-B27 gene's connection to psoriatic arthritis?,The HLA-B27 gene is a high predictor of psoriatic arthritis but not everyone with the gene will develop the condition.
prevention,How can stress be managed in relation to psoriatic arthritis?,"Relaxation techniques such as massage, yoga, and meditation can help manage stress which is known to trigger psoriatic arthritis symptoms."
general_info,What are some risk factors for psoriatic arthritis?,"Risk factors for psoriatic arthritis include family history, age between 30 and 50, obesity, and stress."
treatment,What are the treatments for a dislocated finger?,"Pain medication, anesthetics, splinting, or taping to immobilize the finger. A healthcare provider may need to reset the joint manually or surgically."
treatment,How can pain and inflammation in the knee be relieved?,Alternating application of heating pads and cold packs can help relieve pain and inflammation.
treatment,What is the importance of treating autoimmune arthritis?,Treatment for autoimmune arthritis is vital to avoid damage to affected knuckles.
treatment,How can gout be treated?,Treatment can reduce pain and prevent future gout attacks.
symptoms,What are the symptoms of Psoriatic Arthritis (PsA) in the hands and fingers?,"Swelling, stiffness, and inflammation, particularly in the PIP joints, and deformities at the DIP joints."
symptoms,What are the symptoms of gout in the finger joints?,Inflammation and intense pain.
symptoms,What are the general symptoms of knuckle pain?,"Pain, swelling, tenderness, and stiffness."
general_info,What are the different joints in the fingers?,"The knuckles are called the metacarpophalangeal (MCP) joints, proximal interphalangeal (PIP) joints, and distal interphalangeal (DIP) joints. The MCP joints connect the fingers to the hand, while the PIP joints are the middle joints of the fingers. DIP joints are the closest to the fingertips."
general_info,What causes gout?,"Gout occurs when urate crystals accumulate in a joint, causing inflammation and intense pain."
general_info,What is Psoriatic Arthritis (PsA)?,"PsA is an autoimmune arthritis that can affect the hands and fingers and is sometimes linked to psoriasis, an autoimmune skin condition."
symptoms,What are the early signs of arthritis in the feet?,"The earliest signs of arthritis in the feet are pain, swelling, and stiffness."
symptoms,What are the main symptoms of arthritis?,The main symptoms of arthritis are pain and swelling in one or more joints.
general_info,What happens to joints with arthritis?,"With most types of arthritis, the joints become worn down or damaged over time, and the cartilage is lost, causing bones to rub against each other."
general_info,What is articular cartilage?,Articular cartilage is connective tissue that covers the surface of bones in a joint and reduces friction during joint movement.
general_info,What is the definition of arthritis?,Arthritis is a general term that describes more than 100 rheumatic diseases that affect the joints.
general_info,What are some risk factors for gout?,"Risk factors for gout include being male, overweight, overconsumption of alcohol, eating purine-rich foods, and having certain health conditions (i.e., high blood pressure or diabetes)."
general_info,How is arthritis diagnosed?,"To diagnose arthritis, a healthcare provider will ask about your symptoms, general health, and medical history, examine your foot and ankle, and may perform a gait analysis to observe how you walk."
general_info,What is Psoriatic Arthritis (PsA)?,"PsA is a form of inflammatory arthritis that often affects people with psoriasis. It can affect any of the joints of the foot, plus the ankle joints and the ligaments and tendons of the foot."
symptoms,What are the symptoms of PsA in the feet?,"PsA can cause inflammation, soreness, and tenderness in the feet. Symptoms in the midfoot include pain and swelling that worsens with standing and walking."
symptoms,What is a sign of potential PsA?,Nail psoriasis can be a predictor of PsA.
symptoms,What are claw toes and what do they indicate?,Claw toes are a condition where toes bend into a claw-like position. They can be a sign of an underlying condition like PsA.
treatment,Are there treatments for PsA?,"Yes, there are treatment options available to slow down the disease and relieve symptoms. With appropriate treatment, people with PsA can manage pain and stay active."
prevention,What can prevent claw toes from becoming permanent?,Seeking treatment early is important to prevent claw toes from becoming permanently fixed in that position.
general_info,How common is PsA in people with psoriasis?,An estimated 30% of people with psoriasis also have PsA.
symptoms,What are the symptoms of a stress fracture in the foot?,The symptoms of a stress fracture may not be overt and may only cause pain when pressure is placed on the joint. Crepitus alongside toe pain can be a sign that the stress fracture is progressing.
general_info,What are bone spurs?,"Bone spurs, also known as osteophytes, are tiny projections of bone that can develop after an injury when the body tries to rapidly repair bone."
general_info,What is crepitus?,Crepitus is a cracking or popping sound that can occur when smooth cartilage meets the rough surface of a bone spur. It can also be caused by other joint issues.
general_info,How does gout affect joints?,"Gout can cause joint damage that increases the odds of crepitus. It can also cause the formation of lumpy deposits, called tophi, that erode bone and cartilage."
general_info,What are common types of arthritis that affect the foot and ankle?,The most common types of arthritis that affect the foot and ankle include osteoarthritis and rheumatoid arthritis.
general_info,What are the joints in the toes that are often affected by arthritis?,"Arthritis often affects the metatarsophalangeal joint (MCP) at the base of the toe, the proximal interphalangeal joint (PIP) in the middle of the toe, and the distal phalangeal joint (DP) near the tip of the toe."
treatment,How can back spasms caused by poor posture and body mechanics be treated?,"Back spasms caused by poor posture and body mechanics can be easily remedied by modifying your positioning, improving ergonomics, or correcting your movements when lifting."
prevention,How can back spasms be prevented?,"Understand your daily activities (or lack thereof) so that you can start making necessary adjustments to your posture, ergonomics, and lifting techniques."
general_info,What is asthma?,"Asthma is a chronic disease that affects your lungs. When triggered, your airways may become inflamed and constricted, making it difficult to breathe."
prevention,How can one reduce the risk of asthma?,"Establish and maintain a healthy body weight, as being overweight is a major risk factor for asthma."
general_info,How common is asthma?,Asthma is very common. About one in 13 people in the United States live with asthma.
general_info,What are the triggers of asthma?,Asthma can be triggered by infection or substances such as pollen or smoke.
treatment,What are the treatment options for severe asthma?,"Treatment options for severe asthma include oral corticosteroids, inhaled corticosteroids, biologic injections, supplemental oxygen, and bronchodilators. It's essential to consult with a healthcare provider or allergist to determine the most suitable treatment."
treatment,What treatments might be used in a hospital setting for an asthma attack?,"Hospital treatment for an asthma attack can include typical at-home asthma medications, supplemental oxygen, bronchodilators, and corticosteroids."
prevention,How can asthma attacks be prevented?,"Avoiding allergy triggers and following a personalized asthma plan, which may include medications, are key to preventing asthma attacks."
symptoms,What are the symptoms of a severe asthma attack?,"Symptoms of a severe asthma attack include new or rapidly deteriorating shortness of breath, difficulty catching your breath, shortness of breath different from past episodes, shortness of breath accompanied by swelling in the feet and ankles, trouble breathing when lying flat, and shortness of breath with high fever, chills, cough, or wheezing."
general_info,What are some less common triggers for asthma attacks?,"Less common triggers for asthma attacks include cold and flu, sinus issues, strenuous exercise, weather changes (especially cold weather), and stress or emotional distress."
general_info,What is Neutrophilic asthma?,Neutrophilic asthma is a rare type of asthma caused by high levels of white blood cells called eosinophils.
treatment,What is a reasonable accommodation for asthma?,"Some people with asthma may require a reasonable accommodation from their employer, as required by the Americans With Disabilities Act (ADA), which may include changing jobs to avoid triggers."
prevention,How can one prevent asthma triggers at work?,Employers are required to provide Material Safety Data Sheets (MSDS) for any hazardous substances employees may come into contact with at work to help identify asthma triggers.
general_info,What factors have been linked to a reduction in asthma exacerbation?,"A decrease in exposure to environmental allergens, reductions in office-related exposures, a decrease in exposure to respiratory infections, and possible changes in overall stress levels have been linked to a reduction in asthma exacerbation rates."
prevention,How can I prevent the spread of flu and COVID-19?,"Get vaccinated, wash hands regularly, clean high-touch surfaces, wear a mask in public, and practice social distancing."
prevention,How can I reduce mold exposure if I am sensitive to it?,"Limit outdoor activity when it's damp, use a dehumidifier indoors, and install a HEPA filter on your air conditioner."
treatment,What should I do if I have an asthma attack?,Stay calm and use your rescue inhaler as directed by your healthcare provider. The medication should help you breathe normally within 15 to 20 minutes.
general_info,What are common symptoms of a cold or flu?,"Cough, sore throat, and a runny or stuffy nose."
general_info,What is viral-induced asthma?,"Viral-induced asthma is typically triggered by the common cold, often caused by viruses like human rhinovirus (HRV)."
general_info,What is the seasonal trend for asthma attacks?,"Asthma attacks are most common in the fall, followed by spring, winter and summer."
treatment,What is a needle-free alternative to the EpiPen?,There is a needle-free alternative to the EpiPen.
treatment,Can asthma medication prevent severe food allergies?,"Yes, certain asthma drugs may help prevent severe food allergies from peanuts, milk, and eggs."
treatment,Can toothpaste help with peanut allergies?,There is research exploring how toothpaste could help people overcome peanut allergies.
general_info,What is Exercise-induced bronchoconstriction?,"Exercise-induced bronchoconstriction often involves underlying chronic asthma, with as many as 90% of people diagnosed with asthma having EIA."
general_info,What is the link between Eczema and Food Allergies?,There is a link between eczema and food allergies.
general_info,What is the link between other conditions and food allergies?,There is a link between other conditions and food allergies.
prevention,How can parents help children with asthma?,Talk to your child about the dangers of smoking and vaping as these actions are especially dangerous for children with asthma.
treatment,How can asthma be managed during the summer?,"Work with your asthma healthcare provider to devise a seasonal action plan, which may include incorporating additional medications and/or lifestyle measures into your overall management measures."
general_info,Why is it important to have asthma under control?,"It is important to have asthma under control, especially heading into summer."
general_info,Why is asthma a concern for school attendance?,Asthma is a leading cause of illness-related reasons that children miss school days.
treatment,What are some breathing exercises that may help with asthma?,Nasal breathing and abdominal breathing are examples of breath exercises that may offer benefits in people with mild to moderate asthma.
general_info,What is asthma?,"Asthma is a chronic lung condition that causes difficulty breathing. The airways of the lungs, called bronchial tubes, become inflamed and narrow."
general_info,What should I consider when choosing a supplement?,"When choosing a supplement, look for third-party tested products and consult a healthcare provider, registered dietitian nutritionist (RD or RDN), or pharmacist."
treatment,What should I consider before trying natural therapies for asthma?,Contact your healthcare provider if you have asthma symptoms or before trying any natural therapies.
treatment,What precautions should I take when considering acupuncture for asthma?,Ask acupuncturists about their credentials and experience using acupuncture for asthma. You may also be able to get a referral for an acupuncturist from your physician.
treatment,What medications are effective for relieving asthma symptoms?,ß2-agonist medications are considered highly effective at relieving symptoms of asthma.
treatment,What is the role of ICS (inhaled corticosteroids) in asthma treatment?,ICSs are powerful anti-inflammatories that address the root cause of asthma symptoms and exacerbations.
treatment,What is the role of LABAs (long-acting beta-agonists) like formoterol in asthma treatment?,"If a LABA is quick-acting like formoterol, it can be effective both for prevention and short-term symptom relief."
treatment,How should I use my ICS or ICS+quick-acting LABA when symptoms flare?,"If symptoms flare, you may simply need to take an additional dose of the ICS or ICS+quick-acting LABA."
general_info,What do ß2-agonists do for asthma?,ß2-agonists open your airways.
general_info,What is the limitation of using only SABAs (short-acting beta-agonists) for asthma?,A SABA does not protect you from severe exacerbations (asthma attacks). Frequent use of SABAs without an ICS is associated with an increased risk of exacerbations.
general_info,What is the significance of the plant ma huang in asthma treatment history?,"The plant ma huang was used by the Chinese about 5,000 years ago to improve breathing. It contains ephedrine, which acts as a beta-agonist."
general_info,Why is priming a new or unused inhaler important?,"When using a new inhaler, or one that's gone unused for a while, you'll need to prime it to ensure you get the proper dosage."
general_info,What is oral thrush?,"Oral thrush is a condition characterized by redness inside the mouth and white patches on the tongue, cheeks, gums, tonsils, roof of the mouth, or back of the throat."
symptoms,What are the symptoms of oral thrush?,"Common symptoms of oral thrush include redness inside the mouth, white patches on the tongue, cheeks, gums, tonsils, roof of the mouth, or back of the throat, mouth discomfort, soreness, or pain, loss of taste, and difficulty swallowing. In severe cases, fever may occur."
treatment,What should I do if I need to use an inhaler more often than usual?,"Contact your healthcare provider if you need to use an inhaler more often than usual, if your symptoms are not getting better with your inhalers, or if you have new or worsening breathing problems."
general_info,What is important to know about inhaler medications?,"Understand your inhaler medications, the reasons they have been prescribed, and how you should take those medications. Do not rely on the color or appearance of the inhaler itself. Be sure to read the medication label with the name every time."
general_info,What is asthma?,Asthma is an inflammatory disorder of the airways that can make it difficult to breathe.
prevention,How can asthma attacks be prevented?,Most asthma exacerbations are preventable if the asthma is properly managed.
treatment,What is a common treatment for asthma?,"Inhaled corticosteroids are often used for asthma treatment, although some people may not respond to them."
general_info,What is steroid-refractory eosinophilic asthma?,Steroid-refractory eosinophilic asthma is a type of asthma that does not improve with inhaled corticosteroids.
general_info,What is the relationship between allergic asthma and other health problems?,"Asthma is linked to other serious illnesses, ranging from lung scarring to anxiety."
prevention,How can complications of allergic asthma be prevented?,Working closely with a healthcare provider to control allergic asthma is the best way to prevent complications.
general_info,What is the cause of inflammation in eosinophilic asthma?,"Inflammation in eosinophilic asthma occurs as part of an allergic or immune system response, which releases eosinophils."
general_info,How does increased white blood cells affect the airways in asthma?,"An increase in white blood cells leads to an inflammatory response, causing thickening of the airways, fluid, and mucus, which can lead to airway spasms."
general_info,What is anaphylaxis?,"Anaphylaxis is a dangerous, sometimes deadly, allergic reaction that can share symptoms with allergic asthma."
symptoms,What are some symptoms of anaphylaxis?,Difficulty breathing and wheezing are symptoms of anaphylaxis.
treatment,What should you do if you suspect anaphylaxis?,Call 911 or go to the emergency room if you’re having trouble breathing or experiencing facial swelling as part of an allergic reaction.
prevention,How can employers help prevent occupational asthma?,Employers can use ongoing screening to identify whether occupational asthma is prevalent among their employee population.
treatment,What is an asthma action plan?,"An asthma action plan is a plan developed with a healthcare provider that outlines how to prevent and treat asthma symptoms. It includes what medications to use and when, and when to seek professional help."
general_info,What are the common symptoms of asthma?,"Common symptoms of asthma include coughing, wheezing, shortness of breath, and tightness in the chest."
general_info,How is work-related asthma diagnosed?,"A healthcare provider will ask about your medical history, current symptoms, perform a physical exam, and may order lung function tests. They will also ask detailed questions about your work environment and potential allergens and the timing of your symptoms."
treatment,What can be done to manage work-related asthma?,"Discuss your diagnosis with your employer to determine options for removing or minimizing your exposure to your occupational asthma triggers. Employers are required to make reasonable accommodations, such as allowing a worker to wear a mask."
general_info,What is asthma?,"Asthma is a chronic condition characterized by swelling and inflammation in the bronchioles, also known as wheezing or bronchial asthma."
general_info,What are the triggers for asthma?,Asthma can be triggered by allergies and irritants.
general_info,What are allergens?,"Allergens are substances that can trigger an allergic reaction, causing airways to become irritated, inflamed, and swollen."
treatment,What should you do if asthma symptoms are not relieved by a rescue inhaler?,Seek emergency care if asthma symptoms cannot be relieved with a rescue inhaler and other emergency medications.
general_info,What is status asthmaticus?,Status asthmaticus is a severe asthma condition where symptoms cannot be relieved with a rescue inhaler.
treatment,What is important for long-term asthma control?,Consistent access to bronchodilators and other asthma medications is important for long-term asthma control.
general_info,What is left-sided heart failure?,Left-sided heart failure is a medical condition affecting the left side of the heart.
general_info,What is asthma?,Asthma is a medical condition.
